
Graph 1:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 4 5 7 
4 : 1 2 3 7 8 
5 : 1 2 3 9 10 
6 : 1 2 8 9 10 
7 : 3 4 8 9 10 
8 : 4 6 7 9 10 
9 : 5 6 7 8 10 
10 : 5 6 7 8 9 


Graph 2:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 4 5 7 
4 : 1 2 3 8 9 
5 : 1 2 3 8 10 
6 : 1 2 7 9 10 
7 : 3 6 8 9 10 
8 : 4 5 7 9 10 
9 : 4 6 7 8 10 
10 : 5 6 7 8 9 


Graph 3:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 4 7 8 
4 : 1 2 3 7 8 
5 : 1 2 6 9 10 
6 : 1 2 5 9 10 
7 : 3 4 8 9 10 
8 : 3 4 7 9 10 
9 : 5 6 7 8 10 
10 : 5 6 7 8 9 


Graph 4:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 4 7 8 
4 : 1 2 3 7 8 
5 : 1 2 7 9 10 
6 : 1 2 8 9 10 
7 : 3 4 5 9 10 
8 : 3 4 6 9 10 
9 : 5 6 7 8 10 
10 : 5 6 7 8 9 


Graph 5:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 4 7 8 
4 : 1 2 3 7 9 
5 : 1 2 6 8 10 
6 : 1 2 5 9 10 
7 : 3 4 8 9 10 
8 : 3 5 7 9 10 
9 : 4 6 7 8 10 
10 : 5 6 7 8 9 


Graph 6:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 4 7 8 
4 : 1 2 3 7 9 
5 : 1 2 7 8 10 
6 : 1 2 8 9 10 
7 : 3 4 5 9 10 
8 : 3 5 6 9 10 
9 : 4 6 7 8 10 
10 : 5 6 7 8 9 


Graph 7:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 4 7 8 
4 : 1 2 3 7 9 
5 : 1 2 8 9 10 
6 : 1 2 8 9 10 
7 : 3 4 8 9 10 
8 : 3 5 6 7 10 
9 : 4 5 6 7 10 
10 : 5 6 7 8 9 


Graph 8:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 4 7 8 
4 : 1 2 3 9 10 
5 : 1 2 6 7 9 
6 : 1 2 5 8 10 
7 : 3 5 8 9 10 
8 : 3 6 7 9 10 
9 : 4 5 7 8 10 
10 : 4 6 7 8 9 


Graph 9:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 4 7 8 
4 : 1 2 3 9 10 
5 : 1 2 7 8 9 
6 : 1 2 7 8 10 
7 : 3 5 6 9 10 
8 : 3 5 6 9 10 
9 : 4 5 7 8 10 
10 : 4 6 7 8 9 


Graph 10:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 4 7 8 
4 : 1 2 3 9 10 
5 : 1 2 7 8 9 
6 : 1 2 7 9 10 
7 : 3 5 6 8 10 
8 : 3 5 7 9 10 
9 : 4 5 6 8 10 
10 : 4 6 7 8 9 


Graph 11:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 7 8 9 
4 : 1 2 7 8 9 
5 : 1 2 7 8 10 
6 : 1 2 7 9 10 
7 : 3 4 5 6 10 
8 : 3 4 5 9 10 
9 : 3 4 6 8 10 
10 : 5 6 7 8 9 


Graph 12:

1 : 2 3 4 5 6 
2 : 1 3 4 5 6 
3 : 1 2 7 8 9 
4 : 1 2 7 8 10 
5 : 1 2 7 9 10 
6 : 1 2 8 9 10 
7 : 3 4 5 8 9 
8 : 3 4 6 7 10 
9 : 3 5 6 7 10 
10 : 4 5 6 8 9 


Graph 13:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 5 8 
4 : 1 2 3 5 9 
5 : 1 2 3 4 10 
6 : 1 7 8 9 10 
7 : 2 6 8 9 10 
8 : 3 6 7 9 10 
9 : 4 6 7 8 10 
10 : 5 6 7 8 9 


Graph 14:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 5 8 
4 : 1 2 3 6 9 
5 : 1 2 3 7 10 
6 : 1 4 8 9 10 
7 : 2 5 8 9 10 
8 : 3 6 7 9 10 
9 : 4 6 7 8 10 
10 : 5 6 7 8 9 


Graph 15:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 5 8 
4 : 1 2 3 6 9 
5 : 1 2 3 9 10 
6 : 1 4 7 8 10 
7 : 2 6 8 9 10 
8 : 3 6 7 9 10 
9 : 4 5 7 8 10 
10 : 5 6 7 8 9 


Graph 16:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 5 8 
4 : 1 2 3 9 10 
5 : 1 2 3 9 10 
6 : 1 7 8 9 10 
7 : 2 6 8 9 10 
8 : 3 6 7 9 10 
9 : 4 5 6 7 8 
10 : 4 5 6 7 8 


Graph 17:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 7 
4 : 1 2 3 8 9 
5 : 1 2 6 8 10 
6 : 1 3 5 9 10 
7 : 2 3 8 9 10 
8 : 4 5 7 9 10 
9 : 4 6 7 8 10 
10 : 5 6 7 8 9 


Graph 18:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 7 
4 : 1 2 3 8 9 
5 : 1 2 8 9 10 
6 : 1 3 8 9 10 
7 : 2 3 8 9 10 
8 : 4 5 6 7 10 
9 : 4 5 6 7 10 
10 : 5 6 7 8 9 


Graph 19:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 8 
4 : 1 2 3 7 9 
5 : 1 2 6 8 10 
6 : 1 3 5 9 10 
7 : 2 4 8 9 10 
8 : 3 5 7 9 10 
9 : 4 6 7 8 10 
10 : 5 6 7 8 9 


Graph 20:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 8 
4 : 1 2 3 7 9 
5 : 1 2 6 9 10 
6 : 1 3 5 8 10 
7 : 2 4 8 9 10 
8 : 3 6 7 9 10 
9 : 4 5 7 8 10 
10 : 5 6 7 8 9 


Graph 21:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 8 
4 : 1 2 3 7 9 
5 : 1 2 8 9 10 
6 : 1 3 7 8 10 
7 : 2 4 6 9 10 
8 : 3 5 6 9 10 
9 : 4 5 7 8 10 
10 : 5 6 7 8 9 


Graph 22:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 8 
4 : 1 2 3 7 9 
5 : 1 2 8 9 10 
6 : 1 3 7 9 10 
7 : 2 4 6 8 10 
8 : 3 5 7 9 10 
9 : 4 5 6 8 10 
10 : 5 6 7 8 9 


Graph 23:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 8 
4 : 1 2 3 7 9 
5 : 1 2 8 9 10 
6 : 1 3 8 9 10 
7 : 2 4 8 9 10 
8 : 3 5 6 7 10 
9 : 4 5 6 7 10 
10 : 5 6 7 8 9 


Graph 24:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 8 
4 : 1 2 3 9 10 
5 : 1 2 7 8 9 
6 : 1 3 7 8 10 
7 : 2 5 6 9 10 
8 : 3 5 6 9 10 
9 : 4 5 7 8 10 
10 : 4 6 7 8 9 


Graph 25:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 8 
4 : 1 2 3 9 10 
5 : 1 2 7 8 9 
6 : 1 3 7 9 10 
7 : 2 5 6 8 10 
8 : 3 5 7 9 10 
9 : 4 5 6 8 10 
10 : 4 6 7 8 9 


Graph 26:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 8 
4 : 1 2 3 9 10 
5 : 1 2 7 8 9 
6 : 1 3 8 9 10 
7 : 2 5 8 9 10 
8 : 3 5 6 7 10 
9 : 4 5 6 7 10 
10 : 4 6 7 8 9 


Graph 27:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 8 
4 : 1 2 3 9 10 
5 : 1 2 7 9 10 
6 : 1 3 8 9 10 
7 : 2 5 8 9 10 
8 : 3 6 7 9 10 
9 : 4 5 6 7 8 
10 : 4 5 6 7 8 


Graph 28:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 6 8 
4 : 1 2 3 9 10 
5 : 1 2 8 9 10 
6 : 1 3 7 9 10 
7 : 2 6 8 9 10 
8 : 3 5 7 9 10 
9 : 4 5 6 7 8 
10 : 4 5 6 7 8 


Graph 29:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 8 9 
4 : 1 2 3 8 10 
5 : 1 2 6 7 8 
6 : 1 5 7 9 10 
7 : 2 5 6 9 10 
8 : 3 4 5 9 10 
9 : 3 6 7 8 10 
10 : 4 6 7 8 9 


Graph 30:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 8 9 
4 : 1 2 3 8 10 
5 : 1 2 6 7 9 
6 : 1 5 7 8 10 
7 : 2 5 6 9 10 
8 : 3 4 6 9 10 
9 : 3 5 7 8 10 
10 : 4 6 7 8 9 


Graph 31:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 8 9 
4 : 1 2 3 8 10 
5 : 1 2 6 7 9 
6 : 1 5 8 9 10 
7 : 2 5 8 9 10 
8 : 3 4 6 7 10 
9 : 3 5 6 7 10 
10 : 4 6 7 8 9 


Graph 32:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 8 9 
4 : 1 2 3 8 10 
5 : 1 2 6 8 9 
6 : 1 5 7 9 10 
7 : 2 6 8 9 10 
8 : 3 4 5 7 10 
9 : 3 5 6 7 10 
10 : 4 6 7 8 9 


Graph 33:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 8 9 
4 : 1 2 3 8 10 
5 : 1 2 6 9 10 
6 : 1 5 7 8 9 
7 : 2 6 8 9 10 
8 : 3 4 6 7 10 
9 : 3 5 6 7 10 
10 : 4 5 7 8 9 


Graph 34:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 4 8 9 
4 : 1 2 3 8 10 
5 : 1 2 8 9 10 
6 : 1 7 8 9 10 
7 : 2 6 8 9 10 
8 : 3 4 5 6 7 
9 : 3 5 6 7 10 
10 : 4 5 6 7 9 


Graph 35:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 6 7 8 
4 : 1 2 6 8 9 
5 : 1 2 7 8 10 
6 : 1 3 4 9 10 
7 : 2 3 5 9 10 
8 : 3 4 5 9 10 
9 : 4 6 7 8 10 
10 : 5 6 7 8 9 


Graph 36:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 6 7 8 
4 : 1 2 6 8 9 
5 : 1 2 7 9 10 
6 : 1 3 4 9 10 
7 : 2 3 5 8 10 
8 : 3 4 7 9 10 
9 : 4 5 6 8 10 
10 : 5 6 7 8 9 


Graph 37:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 6 7 8 
4 : 1 2 6 8 9 
5 : 1 2 8 9 10 
6 : 1 3 4 9 10 
7 : 2 3 8 9 10 
8 : 3 4 5 7 10 
9 : 4 5 6 7 10 
10 : 5 6 7 8 9 


Graph 38:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 6 7 8 
4 : 1 2 6 9 10 
5 : 1 2 7 9 10 
6 : 1 3 4 8 9 
7 : 2 3 5 8 10 
8 : 3 6 7 9 10 
9 : 4 5 6 8 10 
10 : 4 5 7 8 9 


Graph 39:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 6 7 8 
4 : 1 2 6 9 10 
5 : 1 2 8 9 10 
6 : 1 3 4 8 9 
7 : 2 3 8 9 10 
8 : 3 5 6 7 10 
9 : 4 5 6 7 10 
10 : 4 5 7 8 9 


Graph 40:

1 : 2 3 4 5 6 
2 : 1 3 4 5 7 
3 : 1 2 6 7 8 
4 : 1 2 6 9 10 
5 : 1 2 8 9 10 
6 : 1 3 4 9 10 
7 : 2 3 8 9 10 
8 : 3 5 7 9 10 
9 : 4 5 6 7 8 
