M1: [2, 1, 2, 2, 3, 2, 2, 1, 1]
M2: [2, 1, 2, 2, 3, 3, 2, 2, 1]
M3: [2, 1, 2, 3, 2, 3, 2, 2, 1]
M4: [2, 1, 2, 2, 4, 3, 1, 1, 2]
M5: [2, 1, 2, 3, 3, 3, 1, 2, 1]
M6: [2, 1, 2, 4, 3, 2, 1, 1, 2]
M7: [2, 1, 2, 2, 5, 1, 3, 3, 3]
M8: [2, 1, 2, 3, 4, 3, 3, 3, 1]
M9: [2, 1, 2, 4, 4, 2, 2, 1, 2]
M10: [3, 1, 3, 3, 3, 2, 2, 1, 2]
M11: [3, 2, 2, 3, 3, 2, 2, 1, 2]
M12: [3, 1, 4, 2, 3, 2, 2, 1, 2]
M13: [3, 2, 3, 4, 3, 3, 3, 1, 2]
M14: [2, 1, 2, 2, 2, 3, 2, 2, 2, 2]
M15: [2, 1, 2, 2, 2, 3, 3, 3, 1, 3]
M16: [2, 1, 2, 2, 3, 2, 2, 3, 1, 2]
M17: [2, 1, 2, 2, 3, 3, 3, 3, 2, 5]
M18: [2, 1, 2, 3, 3, 2, 2, 3, 1, 3]
M19: [3, 1, 2, 2, 2, 2, 2, 2, 2, 2]
M20: [3, 1, 2, 2, 2, 2, 3, 3, 1, 3]
M21: [2, 1, 2, 2, 2, 2, 4, 1, 2, 2]
M22: [2, 1, 2, 2, 2, 3, 4, 1, 2, 3]
M23: [2, 1, 2, 2, 3, 3, 4, 1, 2, 4]
M24: [2, 1, 2, 3, 3, 2, 3, 1, 2, 3]
M25: [2, 1, 2, 3, 3, 3, 4, 1, 2, 5]
M26: [2, 1, 3, 3, 2, 2, 4, 1, 2, 4]
M27: [3, 1, 3, 2, 2, 2, 3, 1, 2, 3]
M28: [2, 1, 2, 2, 2, 3, 4, 3, 3, 4]
M29: [2, 1, 2, 2, 3, 2, 3, 3, 3, 3]
M30: [2, 1, 2, 2, 3, 3, 4, 2, 3, 4]
M31: [2, 1, 2, 3, 3, 2, 3, 3, 3, 4]
M32: [3, 1, 2, 2, 2, 2, 4, 3, 3, 4]
M33: [3, 1, 2, 2, 3, 2, 3, 2, 2, 2]
M34: [3, 1, 2, 2, 3, 3, 3, 2, 2, 3]
M35: [3, 1, 3, 3, 2, 2, 3, 2, 2, 3]
M36: [2, 2, 2, 3, 2, 2, 3, 2, 2, 2]
M37: [3, 2, 3, 3, 3, 2, 3, 2, 2, 5]
